ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-07-01,533.399882827935,161.24142040620308,637.8180868164413,533.399882827935,533.399882827935,-131.09654322380965,-131.09654322380965,-131.09654322380965,-43.18502773652289,-43.18502773652289,-43.18502773652289,-87.91151548728678,-87.91151548728678,-87.91151548728678,0.0,0.0,0.0,402.30333960412537
2020-07-02,533.2250136614106,148.7344170567919,649.6634801186831,533.2250136614106,533.2250136614106,-144.18042837132086,-144.18042837132086,-144.18042837132086,-60.699253042365946,-60.699253042365946,-60.699253042365946,-83.48117532895492,-83.48117532895492,-83.48117532895492,0.0,0.0,0.0,389.0445852900897
2020-07-03,533.050144494886,232.9036368394145,688.3853930167649,533.050144494886,533.050144494886,-85.05000145542384,-85.05000145542384,-85.05000145542384,-6.26998258218199,-6.26998258218199,-6.26998258218199,-78.78001887324186,-78.78001887324186,-78.78001887324186,0.0,0.0,0.0,448.00014303946216
2020-07-04,532.8752753283615,347.84692294754467,827.4969581553855,532.8752753283615,532.8752753283615,45.63503301236344,45.63503301236344,45.63503301236344,119.44434641494276,119.44434641494276,119.44434641494276,-73.8093134025793,-73.8093134025793,-73.8093134025793,0.0,0.0,0.0,578.5103083407249
2020-07-05,532.7004061618369,315.0918045208928,801.9642144081529,532.7004061618369,532.7004061618369,31.323533312166695,31.323533312166695,31.323533312166695,99.89851886017325,99.89851886017325,99.89851886017325,-68.57498554800655,-68.57498554800655,-68.57498554800655,0.0,0.0,0.0,564.0239394740036
2020-07-06,532.5255369953125,180.87315742989685,659.0699338176084,532.5255369953125,532.5255369953125,-112.52793417858464,-112.52793417858464,-112.52793417858464,-49.44006637462628,-49.44006637462628,-49.44006637462628,-63.08786780395835,-63.08786780395835,-63.08786780395835,0.0,0.0,0.0,419.9976028167278
2020-07-07,532.3506678287879,185.74956854863603,654.3368536171293,532.3506678287879,532.3506678287879,-117.11234798564988,-117.11234798564988,-117.11234798564988,-59.748535538890856,-59.748535538890856,-59.748535538890856,-57.36381244675903,-57.36381244675903,-57.36381244675903,0.0,0.0,0.0,415.238319843138
2020-07-08,532.1757986622633,193.24832901450011,691.9313400955776,532.1757986622633,532.1757986622633,-94.60869128166553,-94.60869128166553,-94.60869128166553,-43.185027736550936,-43.185027736550936,-43.185027736550936,-51.42366354511459,-51.42366354511459,-51.42366354511459,0.0,0.0,0.0,437.5671073805978
2020-07-09,532.0009294957389,191.19384384736415,654.8191490260233,532.0009294957389,532.0009294957389,-105.99233499091213,-105.99233499091213,-105.99233499091213,-60.6992530423406,-60.6992530423406,-60.6992530423406,-45.29308194857152,-45.29308194857152,-45.29308194857152,0.0,0.0,0.0,426.00859450482676
2020-07-10,531.8260603292142,235.52413435240192,726.4539100361937,531.8260603292142,531.8260603292142,-45.272205220426514,-45.272205220426514,-45.272205220426514,-6.269982582077224,-6.269982582077224,-6.269982582077224,-39.002222638349295,-39.002222638349295,-39.002222638349295,0.0,0.0,0.0,486.55385510878773
